,TEAM,CONF,Power Conference,G,W,ADJEM,ADJOE,ADJDE,BARTHAG,EFG_O,EFG_D,TOM,TOR,RBM,TORD,ORB,DRB,FTR,FTRD,2P_O,2P_D,3P_O,3P_D,ADJ_T,WAB,SEED,POSTSEASON,Year
91,South Florida,Amer,0,31,24,9.0,109.4,100.4,0.7288,51.8,47.6,3.200000000000001,15.4,-2.3000000000000007,18.6,28.2,30.5,37.7,34.8,49.5,48.2,36.6,31.1,67.9,-0.7,,,2024
92,Miami FL,ACC,1,32,15,8.800000000000011,109.9,101.1,0.7241,52.7,51.0,-0.5999999999999979,17.2,0.1999999999999993,16.6,28.7,28.5,24.6,22.3,51.6,52.0,36.1,33.3,68.7,-5.3,,,2024
93,Louisiana Tech,CUSA,0,29,22,8.700000000000003,107.7,99.0,0.7237,50.6,45.6,-1.1999999999999993,18.8,5.799999999999997,17.6,33.8,28.0,42.0,32.0,49.0,43.0,35.7,33.5,65.6,-4.3,,,2024
94,Memphis,Amer,0,32,22,8.900000000000006,111.5,102.6,0.7236,52.8,50.0,1.1000000000000014,18.0,-0.20000000000000284,19.1,33.4,33.6,36.3,29.6,52.9,49.3,35.0,34.0,71.6,-1.0,,,2024
95,Massachusetts,A10,0,31,20,8.800000000000011,110.9,102.1,0.7214,50.6,48.5,2.8999999999999986,16.0,6.399999999999999,18.9,36.5,30.1,35.8,38.6,52.6,47.5,31.3,33.5,68.3,-4.6,,,2024
96,Saint Joseph's,A10,0,34,21,8.599999999999994,110.6,102.0,0.7174,53.0,49.0,1.2000000000000028,16.4,0.1999999999999993,17.6,29.3,29.1,29.5,29.0,52.7,48.5,35.6,33.1,68.3,-4.4,,,2024
97,George Mason,A10,0,31,20,8.400000000000006,108.7,100.3,0.7166,52.0,48.0,-1.7000000000000028,18.1,4.300000000000001,16.4,31.7,27.4,36.7,31.8,52.3,45.0,34.3,34.8,63.8,-4.6,,,2024
98,College of Charleston,CAA,0,33,27,8.099999999999994,113.3,105.2,0.7019,52.4,50.6,2.099999999999998,14.3,6.899999999999999,16.4,33.5,26.6,26.9,28.3,52.6,50.5,34.8,33.8,70.0,-1.6,13.0,R64,2024
99,Appalachian St.,SB,0,31,27,7.599999999999994,106.0,98.4,0.7017,52.7,45.1,-0.7000000000000011,15.3,1.8999999999999986,14.6,29.7,27.8,32.3,19.8,53.8,43.7,33.6,32.1,66.7,-1.0,,,2024
100,Rutgers,B10,1,32,15,6.699999999999989,98.1,91.4,0.6928,43.5,47.2,5.099999999999998,16.6,-1.1000000000000014,21.7,30.2,31.3,32.9,34.3,43.7,46.0,28.7,32.7,67.8,-3.5,,,2024
101,Stanford,P12,1,32,14,7.299999999999997,109.8,102.5,0.6901,54.3,51.9,-2.3000000000000007,17.8,-4.100000000000001,15.5,23.2,27.3,28.6,25.3,53.6,50.9,36.9,35.7,69.5,-7.0,,,2024
102,St. Bonaventure,A10,0,33,20,7.299999999999997,111.0,103.7,0.6876,52.3,51.1,3.0,16.2,1.1999999999999993,19.2,29.7,28.5,32.2,33.9,50.8,51.8,36.5,33.5,65.4,-4.8,,,2024
103,Belmont,MVC,0,32,20,7.0,109.1,102.1,0.6819,55.0,51.1,-0.3000000000000007,16.7,-6.5,16.4,21.0,27.5,30.3,27.0,54.5,52.2,37.2,33.0,71.1,-5.2,,,2024
104,Oklahoma St.,B12,1,32,12,7.0,108.8,101.8,0.681,51.3,51.3,-2.0,18.8,-1.0,16.8,27.5,28.5,34.0,27.6,52.2,51.5,33.4,34.0,67.1,-7.5,,,2024
